PaperIndex,OpenAlexID,Title,Authors,Year,Citations,URL
0,W4387841511,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,,2023,432,https://doi.org/10.1145/3583780
1,W2747122324,Ensemble Methods for Personalized E-Commerce Search Challenge at CIKM Cup 2016,"Chen Wu, Luo Si, Ming Yan",2017,16,https://doi.org/10.48550/arxiv.1708.04479
2,W2295598076,XGBoost,"Carlos Guestrin, Tianqi Chen",2016,45695,https://doi.org/10.1145/2939672.2939785
3,W2911840101,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,,2017,747,https://doi.org/10.1145/3132847
4,W2809307135,STAMP,"Haibin Zhang, Qiao Liu, Refuoe Mokhosi, Yifu Zeng",2018,939,https://doi.org/10.1145/3219819.3219950
5,W2897228597,CIKM 2018 Co-Located Workshops Summary,"Alfredo Cuzzocrea, Dimitrios Gunopulos, Francesco Bonchi",2018,5,https://doi.org/10.1145/3269206.3274267
6,W2532475640,Cross-Device User Matching Based on Massive Browse Logs: The Runner-Up Solution for the 2016 CIKM Cup,"Jianxun Lian, Xing Xie",2016,11,https://doi.org/10.48550/arxiv.1610.03928
7,W2583389483,Classification and Learning-to-rank Approaches for Cross-Device Matching at CIKM Cup 2016,Nam Khanh Tran,2016,6,https://doi.org/10.48550/arxiv.1612.07117
8,W2541672923,Cross Device Matching for Online Advertising with Neural Feature Ensembles : First Place Solution at CIKM Cup 2016,"Phan, Minh C., Tuan-Anh Nguyen Pham, Yi Tay",2016,8,https://doi.org/10.48550/arxiv.1610.07119
9,W3210071228,CIKM 2021 Tutorial on Fairness of Machine Learning in Recommender Systems,"Yingqiang Ge, Yongfeng Zhang, Yunqi Li",2021,4,https://doi.org/10.1145/3459637.3483280
10,W3140399761,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"ChengXiang Zhai, Elisa Bertino, Fábio Crestani, Javed Mostafa, Jie Tang, Luo Si, Parikshit Sondhi, Snehasis Mukhopadhyay, Xiaofang Zhou, Yi Chang, Yunyao Li",2025,166,https://doi.org/10.1145/3746252
